NAME,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type
309,11087,23734,3326,7121,13months-control-replicate_2,CTX-Ex,CTX-Ex2
310,10440,23736,3132,7121,13months-control-replicate_2,Inh,Vip
311,12781,23744,3835,7124,13months-control-replicate_2,CTX-Ex,CTX-Ex1
312,6490,23745,1947,7124,13months-control-replicate_2,CTX-Ex,CTX-Ex2
313,4213,23740,1264,7122,13months-control-replicate_2,Inh,Pvalb
314,5598,23737,1680,7122,13months-control-replicate_2,Astro,Astro1
315,5345,23734,1604,7121,13months-control-replicate_2,Endo,Endo1
316,12381,23711,3715,7114,13months-control-replicate_2,Micro,Micro1
317,12093,23731,3628,7120,13months-control-replicate_2,CTX-Ex,CTX-Ex2
318,12297,23730,3689,7119,13months-control-replicate_2,CTX-Ex,CTX-Ex2
319,9069,23714,2721,7115,13months-control-replicate_2,SMC,S2
320,14312,23710,4294,7113,13months-control-replicate_2,Inh,Sst
321,15233,23705,4570,7112,13months-control-replicate_2,OPC,OPC
322,7765,23702,2330,7111,13months-control-replicate_2,SMC,S1
323,7635,23706,2291,7112,13months-control-replicate_2,CTX-Ex,CTX-Ex1
324,6843,23700,2053,7110,13months-control-replicate_2,CTX-Ex,CTX-Ex2
325,18335,23700,5501,7110,13months-control-replicate_2,Astro,Astro1
326,16130,23703,4839,7111,13months-control-replicate_2,CTX-Ex,CTX-Ex1
327,11686,23699,3506,7110,13months-control-replicate_2,CTX-Ex,CTX-Ex1
328,10643,23690,3193,7107,13months-control-replicate_2,CTX-Ex,CTX-Ex1
329,5818,23696,1746,7109,13months-control-replicate_2,CTX-Ex,CTX-Ex2
330,15846,23692,4754,7108,13months-control-replicate_2,CTX-Ex,CTX-Ex1
331,3742,23693,1123,7108,13months-control-replicate_2,CTX-Ex,CTX-Ex2
332,11817,23701,3545,7111,13months-control-replicate_2,CTX-Ex,CTX-Ex1
333,2860,23683,858,7105,13months-control-replicate_2,CTX-Ex,CTX-Ex2
334,11191,23675,3358,7103,13months-control-replicate_2,CTX-Ex,CTX-Ex1
335,4951,23661,1486,7099,13months-control-replicate_2,CTX-Ex,CTX-Ex3
336,6230,23676,1869,7103,13months-control-replicate_2,CTX-Ex,CTX-Ex3
337,9725,23675,2918,7103,13months-control-replicate_2,CTX-Ex,CTX-Ex1
338,5304,23666,1592,7100,13months-control-replicate_2,Endo,Endo1
339,8105,23663,2432,7099,13months-control-replicate_2,CTX-Ex,CTX-Ex1
340,6467,23666,1940,7100,13months-control-replicate_2,CTX-Ex,CTX-Ex2
341,5548,23654,1665,7097,13months-control-replicate_2,Astro,Astro1
342,13124,23657,3938,7098,13months-control-replicate_2,CTX-Ex,CTX-Ex1
343,11057,23633,3317,7090,13months-control-replicate_2,Inh,Vip
344,8945,23649,2684,7095,13months-control-replicate_2,Endo,Endo2
345,17588,23644,5277,7094,13months-control-replicate_2,CTX-Ex,CTX-Ex2
346,3236,23635,971,7091,13months-control-replicate_2,CTX-Ex,CTX-Ex2
347,10946,23639,3284,7092,13months-control-replicate_2,Inh,Vip
348,16243,23656,4873,7097,13months-control-replicate_2,CTX-Ex,CTX-Ex1
349,18517,23638,5555,7092,13months-control-replicate_2,SMC,S3
350,16037,23628,4811,7089,13months-control-replicate_2,CTX-Ex,CTX-Ex2
351,14565,23613,4370,7084,13months-control-replicate_2,Micro,Micro1
352,9572,23624,2872,7088,13months-control-replicate_2,CTX-Ex,CTX-Ex1
353,6340,23622,1902,7087,13months-control-replicate_2,CTX-Ex,CTX-Ex2
354,11337,23606,3401,7082,13months-control-replicate_2,CTX-Ex,CTX-Ex2
355,6528,23608,1959,7083,13months-control-replicate_2,CTX-Ex,CTX-Ex2
356,4829,23607,1449,7083,13months-control-replicate_2,CTX-Ex,CTX-Ex2
357,3138,23602,942,7081,13months-control-replicate_2,CTX-Ex,CTX-Ex1
358,5351,23599,1606,7080,13months-control-replicate_2,SMC,S2
359,3510,23630,1053,7089,13months-control-replicate_2,Micro,Micro1
360,16938,23596,5082,7079,13months-control-replicate_2,CTX-Ex,CTX-Ex2
361,3336,23590,1001,7077,13months-control-replicate_2,CTX-Ex,CTX-Ex3
362,10780,23589,3234,7077,13months-control-replicate_2,Endo,Endo1
363,14001,23585,4201,7076,13months-control-replicate_2,CTX-Ex,CTX-Ex2
364,5039,23581,1512,7075,13months-control-replicate_2,Inh,Pvalb
365,11846,23582,3554,7075,13months-control-replicate_2,Inh,Sst
366,4420,23582,1326,7075,13months-control-replicate_2,CTX-Ex,CTX-Ex3
367,15519,23581,4656,7075,13months-control-replicate_2,CTX-Ex,CTX-Ex1
368,6924,23559,2078,7068,13months-control-replicate_2,CTX-Ex,CTX-Ex2
369,5706,23573,1712,7072,13months-control-replicate_2,Oligo,Oligo1
370,12088,23567,3627,7071,13months-control-replicate_2,CTX-Ex,CTX-Ex1
371,3624,23568,1088,7071,13months-control-replicate_2,CTX-Ex,CTX-Ex2
372,8488,23550,2547,7065,13months-control-replicate_2,CTX-Ex,CTX-Ex1
373,8729,23542,2619,7063,13months-control-replicate_2,CTX-Ex,CTX-Ex3
374,4242,23540,1273,7062,13months-control-replicate_2,CTX-Ex,CTX-Ex1
375,4020,23542,1206,7063,13months-control-replicate_2,CTX-Ex,CTX-Ex1
376,11412,23541,3424,7063,13months-control-replicate_2,CTX-Ex,CTX-Ex1
377,11508,23533,3453,7060,13months-control-replicate_2,CTX-Ex,CTX-Ex1
378,7031,23535,2110,7061,13months-control-replicate_2,CTX-Ex,CTX-Ex1
379,17405,23533,5222,7060,13months-control-replicate_2,OPC,OPC
380,16572,23542,4972,7063,13months-control-replicate_2,CTX-Ex,CTX-Ex2
381,16236,23545,4871,7064,13months-control-replicate_2,CTX-Ex,CTX-Ex2
382,14480,23521,4344,7057,13months-control-replicate_2,CTX-Ex,CTX-Ex1
383,7196,23537,2159,7062,13months-control-replicate_2,CTX-Ex,CTX-Ex1
384,12811,23527,3844,7059,13months-control-replicate_2,CTX-Ex,CTX-Ex1
385,18722,23533,5617,7060,13months-control-replicate_2,SMC,S3
386,7630,23520,2289,7056,13months-control-replicate_2,CTX-Ex,CTX-Ex3
387,12613,23508,3784,7053,13months-control-replicate_2,CTX-Ex,CTX-Ex1
388,10343,23521,3103,7057,13months-control-replicate_2,CTX-Ex,CTX-Ex1
389,8111,23521,2434,7057,13months-control-replicate_2,CTX-Ex,CTX-Ex1
390,13663,23509,4099,7053,13months-control-replicate_2,CTX-Ex,CTX-Ex2
391,7494,23508,2249,7053,13months-control-replicate_2,CTX-Ex,CTX-Ex2
392,8982,23507,2695,7053,13months-control-replicate_2,CTX-Ex,CTX-Ex1
393,9244,23508,2774,7053,13months-control-replicate_2,CTX-Ex,CTX-Ex1
394,5355,23482,1607,7045,13months-control-replicate_2,CTX-Ex,CTX-Ex1
395,15485,23492,4646,7048,13months-control-replicate_2,CTX-Ex,CTX-Ex1
396,12177,23498,3653,7050,13months-control-replicate_2,CTX-Ex,CTX-Ex1
397,13376,23488,4013,7047,13months-control-replicate_2,CTX-Ex,CTX-Ex1
398,9547,23488,2864,7047,13months-control-replicate_2,CTX-Ex,CTX-Ex1
399,15070,23460,4521,7038,13months-control-replicate_2,CTX-Ex,CTX-Ex2
400,14100,23488,4230,7047,13months-control-replicate_2,CTX-Ex,CTX-Ex1
401,10239,23475,3072,7043,13months-control-replicate_2,CTX-Ex,CTX-Ex1
402,14227,23482,4268,7045,13months-control-replicate_2,CTX-Ex,CTX-Ex1
403,5861,23485,1759,7046,13months-control-replicate_2,CTX-Ex,CTX-Ex2
404,5735,23481,1721,7045,13months-control-replicate_2,Oligo,Oligo1
405,17073,23470,5122,7041,13months-control-replicate_2,CTX-Ex,CTX-Ex1
406,12346,23464,3704,7040,13months-control-replicate_2,CTX-Ex,CTX-Ex1
407,9797,23463,2939,7039,13months-control-replicate_2,CTX-Ex,CTX-Ex1
408,11380,23461,3414,7039,13months-control-replicate_2,CTX-Ex,CTX-Ex3
409,7319,23464,2196,7040,13months-control-replicate_2,CTX-Ex,CTX-Ex1
410,4165,23452,1250,7036,13months-control-replicate_2,CTX-Ex,CTX-Ex3
411,8675,23457,2603,7038,13months-control-replicate_2,Endo,Endo1
412,6738,23485,2022,7046,13months-control-replicate_2,CTX-Ex,CTX-Ex2
413,14729,23449,4419,7035,13months-control-replicate_2,CTX-Ex,CTX-Ex3
414,9457,23450,2837,7035,13months-control-replicate_2,CTX-Ex,CTX-Ex2
415,18802,23457,5641,7038,13months-control-replicate_2,SMC,S3
416,10765,23442,3230,7033,13months-control-replicate_2,CTX-Ex,CTX-Ex3
417,7709,23447,2313,7035,13months-control-replicate_2,CTX-Ex,CTX-Ex1
418,15161,23442,4549,7033,13months-control-replicate_2,CTX-Ex,CTX-Ex1
419,10936,23454,3281,7037,13months-control-replicate_2,CTX-Ex,CTX-Ex1
420,7943,23440,2383,7032,13months-control-replicate_2,CTX-Ex,CTX-Ex2
421,8799,23432,2640,7030,13months-control-replicate_2,CTX-Ex,CTX-Ex2
422,11986,23434,3596,7031,13months-control-replicate_2,Endo,Endo1
423,9193,23431,2758,7030,13months-control-replicate_2,CTX-Ex,CTX-Ex1
424,5186,23419,1556,7026,13months-control-replicate_2,Oligo,Oligo1
425,16560,23425,4968,7028,13months-control-replicate_2,CTX-Ex,CTX-Ex2
426,15370,23426,4611,7028,13months-control-replicate_2,CTX-Ex,CTX-Ex2
427,12109,23425,3633,7028,13months-control-replicate_2,SMC,S2
428,12476,23420,3743,7026,13months-control-replicate_2,CTX-Ex,CTX-Ex1
429,9074,23410,2723,7023,13months-control-replicate_2,CTX-Ex,CTX-Ex1
430,17956,23409,5387,7023,13months-control-replicate_2,OPC,OPC
431,3436,23410,1031,7023,13months-control-replicate_2,CTX-Ex,CTX-Ex2
432,3213,23406,964,7022,13months-control-replicate_2,CTX-Ex,CTX-Ex2
433,3091,23396,928,7019,13months-control-replicate_2,Inh,Lamp5
434,13027,23400,3908,7020,13months-control-replicate_2,OPC,OPC
435,5749,23403,1725,7021,13months-control-replicate_2,Inh,Pvalb
436,7364,23395,2210,7019,13months-control-replicate_2,Oligo,Oligo1
437,14926,23393,4478,7018,13months-control-replicate_2,CTX-Ex,CTX-Ex1
438,19003,23396,5701,7019,13months-control-replicate_2,SMC,S3
439,6237,23386,1871,7016,13months-control-replicate_2,Astro,Astro1
