tri_celltype,occurrence_num,rank
CA3&DG&Inh,2,186
DG&Inh&LHb,2,187
CA2&CA3&Inh,2,188
CA2&Inh&LHb,2,189
CA3&Inh&LHb,2,190
CTX-Ex&Endo&Oligo,1656,191
CA1&Endo&Oligo,85,192
DG&Endo&Oligo,83,193
CA2&Endo&Oligo,84,194
CA3&Endo&Oligo,83,195
Endo&LHb&Oligo,97,196
CA1&CTX-Ex&Endo,968,197
CTX-Ex&DG&Endo,972,198
CA2&CTX-Ex&Endo,970,199
CA3&CTX-Ex&Endo,970,200
CTX-Ex&Endo&LHb,962,201
CA1&DG&Endo,2,202
CA1&CA2&Endo,2,203
CA1&CA3&Endo,2,204
CA1&Endo&LHb,2,205
CA2&DG&Endo,2,206
CA3&DG&Endo,2,207
DG&Endo&LHb,2,208
CA2&CA3&Endo,2,209
CA2&Endo&LHb,2,210
CA3&Endo&LHb,2,211
CA1&CTX-Ex&Oligo,1262,212
CTX-Ex&DG&Oligo,1262,213
CA2&CTX-Ex&Oligo,1260,214
CA3&CTX-Ex&Oligo,1258,215
CTX-Ex&LHb&Oligo,1270,216
CA1&DG&Oligo,57,217
CA1&CA2&Oligo,57,218
CA1&CA3&Oligo,57,219
CA1&LHb&Oligo,68,220
CA2&DG&Oligo,55,221
CA3&DG&Oligo,55,222
DG&LHb&Oligo,66,223
CA2&CA3&Oligo,55,224
CA2&LHb&Oligo,66,225
CA3&LHb&Oligo,66,226
CA1&CTX-Ex&DG,702,227
CA1&CA2&CTX-Ex,699,228
CA1&CA3&CTX-Ex,698,229
CA1&CTX-Ex&LHb,694,230
CA2&CTX-Ex&DG,703,231
CA3&CTX-Ex&DG,702,232
CTX-Ex&DG&LHb,696,233
CA2&CA3&CTX-Ex,699,234
CA2&CTX-Ex&LHb,693,235
CA3&CTX-Ex&LHb,692,236
