"tri_celltype","occurrence_num","rank","meta_p","effect_size_1","effect_size_2","effect_size_3"
"CA1&Endo&Oligo",85,192,0.84213391457482,0.07569,0.02276,0.02276
"CA1&Endo&OPC",3,147,0.822581441926664,0.02276,0.06508,0.02276
"CA1&Endo&SMC",14,41,0.84213391457482,0.07569,0.02276,0.02276
"CA1&Inh&LHb",2,184,0.886536654038209,0.03785,0.06005,0.02276
"CA1&Inh&Micro",4,114,0.822581441926664,0.02276,0.06508,0.02276
"CA1&Inh&Oligo",100,171,0.84213391457482,0.07569,0.02276,0.02276
"CA1&Inh&OPC",5,140,0.822581441926664,0.02276,0.06508,0.02276
"CA1&Inh&SMC",8,34,0.84213391457482,0.07569,0.02276,0.02276
"CA1&LHb&Oligo",68,220,0.937217059774668,0.03785,0.02276,0.06005
"CA1&LHb&SMC",5,60,0.937217059774668,0.03785,0.02276,0.06005
"CA1&Micro&Oligo",77,127,0.822581441926664,0.02276,0.02276,0.06508
"CA1&Micro&SMC",7,17,0.822581441926664,0.02276,0.02276,0.06508
"CA1&Oligo&SMC",86,47,0.84213391457482,0.07569,0.02276,0.02276
"CA1&OPC&Oligo",66,153,0.822581441926664,0.02276,0.02276,0.06508
"CA1&OPC&SMC",8,26,0.822581441926664,0.02276,0.02276,0.06508
"CA2&CA3&CTX-Ex",699,234,0.822581441926664,0.02276,0.02276,0.06508
"CA2&CA3&Endo",2,209,0.822581441926664,0.02276,0.02276,0.06508
"CA2&CA3&Inh",2,188,0.822581441926664,0.02276,0.02276,0.06508
"CA2&CA3&Oligo",55,224,0.822581441926664,0.02276,0.02276,0.06508
"CA2&CA3&SMC",4,64,0.822581441926664,0.02276,0.02276,0.06508
"CA2&CTX-Ex&DG",703,231,0.822581441926664,0.02276,0.06508,0.02276
"CA2&CTX-Ex&Endo",970,199,0.84213391457482,0.07569,0.02276,0.02276
"CA2&CTX-Ex&Inh",1051,178,0.84213391457482,0.07569,0.02276,0.02276
"CA2&CTX-Ex&LHb",693,235,0.886536654038209,0.03785,0.06005,0.02276
"CA2&CTX-Ex&Micro",799,134,0.822581441926664,0.02276,0.06508,0.02276
"CA2&CTX-Ex&Oligo",1260,214,0.84213391457482,0.07569,0.02276,0.02276
"CA2&CTX-Ex&OPC",752,160,0.822581441926664,0.02276,0.06508,0.02276
"CA2&CTX-Ex&SMC",798,54,0.84213391457482,0.07569,0.02276,0.02276
"CA2&DG&Endo",2,206,0.822581441926664,0.02276,0.02276,0.06508
"CA2&DG&Inh",2,185,0.822581441926664,0.02276,0.02276,0.06508
"CA2&DG&Oligo",55,221,0.822581441926664,0.02276,0.02276,0.06508
"CA2&DG&SMC",4,61,0.822581441926664,0.02276,0.02276,0.06508
"CA2&Endo&Inh",11,167,0.84213391457482,0.07569,0.02276,0.02276
"CA2&Endo&LHb",2,210,0.886536654038209,0.03785,0.06005,0.02276
"CA2&Endo&Micro",5,123,0.822581441926664,0.02276,0.06508,0.02276
"CA2&Endo&Oligo",84,194,0.84213391457482,0.07569,0.02276,0.02276
"CA2&Endo&OPC",3,149,0.822581441926664,0.02276,0.06508,0.02276
"CA2&Endo&SMC",14,43,0.84213391457482,0.07569,0.02276,0.02276
"CA2&Inh&LHb",2,189,0.886536654038209,0.03785,0.06005,0.02276
"CA2&Inh&Micro",4,116,0.822581441926664,0.02276,0.06508,0.02276
"CA2&Inh&Oligo",98,173,0.84213391457482,0.07569,0.02276,0.02276
"CA2&Inh&OPC",5,142,0.822581441926664,0.02276,0.06508,0.02276
"CA2&Inh&SMC",8,36,0.84213391457482,0.07569,0.02276,0.02276
"CA2&LHb&Oligo",66,225,0.937217059774668,0.03785,0.02276,0.06005
"CA2&LHb&SMC",5,65,0.937217059774668,0.03785,0.02276,0.06005
"CA2&Micro&Oligo",75,129,0.822581441926664,0.02276,0.02276,0.06508
"CA2&Micro&SMC",7,19,0.822581441926664,0.02276,0.02276,0.06508
"CA2&Oligo&SMC",84,49,0.84213391457482,0.07569,0.02276,0.02276
"CA2&OPC&Oligo",64,155,0.822581441926664,0.02276,0.02276,0.06508
"CA2&OPC&SMC",8,28,0.822581441926664,0.02276,0.02276,0.06508
"CA3&CTX-Ex&DG",702,232,0.822581441926664,0.02276,0.06508,0.02276
"CA3&CTX-Ex&Endo",970,200,0.84213391457482,0.07569,0.02276,0.02276
"CA3&CTX-Ex&Inh",1049,179,0.84213391457482,0.07569,0.02276,0.02276
"CA3&CTX-Ex&LHb",692,236,0.886536654038209,0.03785,0.06005,0.02276
"CA3&CTX-Ex&Micro",797,135,0.822581441926664,0.02276,0.06508,0.02276
"CA3&CTX-Ex&Oligo",1258,215,0.84213391457482,0.07569,0.02276,0.02276
"CA3&CTX-Ex&OPC",751,161,0.822581441926664,0.02276,0.06508,0.02276
"CA3&CTX-Ex&SMC",797,55,0.84213391457482,0.07569,0.02276,0.02276
"CA3&DG&Endo",2,207,0.822581441926664,0.02276,0.02276,0.06508
"CA3&DG&Inh",2,186,0.822581441926664,0.02276,0.02276,0.06508
"CA3&DG&Oligo",55,222,0.822581441926664,0.02276,0.02276,0.06508
"CA3&DG&SMC",4,62,0.822581441926664,0.02276,0.02276,0.06508
"CA3&Endo&Inh",10,168,0.84213391457482,0.07569,0.02276,0.02276
"CA3&Endo&LHb",2,211,0.886536654038209,0.03785,0.06005,0.02276
"CA3&Endo&Micro",5,124,0.822581441926664,0.02276,0.06508,0.02276
"CA3&Endo&Oligo",83,195,0.84213391457482,0.07569,0.02276,0.02276
"CA3&Endo&OPC",3,150,0.822581441926664,0.02276,0.06508,0.02276
"CA3&Endo&SMC",14,44,0.84213391457482,0.07569,0.02276,0.02276
